,x
0,-11.567182724104986
1,-10.58892938616423
2,-10.549676192495188
3,-9.820676856011348
4,-11.028235755465342
5,-11.210178204522935
6,-11.401714854050994
7,-10.772866371634546
8,-9.909638609018021
9,-10.372375394072465
10,-10.162866899352581
11,-11.861859201183352
12,-10.178988740491189
13,-9.929536375508711
14,-11.204632297508287
15,-10.52413689335558
16,-11.532873875546557
17,-10.741356938449945
18,-10.044268646844895
19,-10.342400328892388
20,-9.31504221544577
21,-9.148027709177953
22,-10.440223170114061
23,-10.078808367148856
24,-9.673460665328184
25,-10.544541866768927
26,-10.661895698866642
27,-9.152807846372054
28,-10.313319031053144
29,-9.813822842756055
30,-9.424409960911238
31,-9.725299214152255
32,-9.703747266807598
33,-8.304900582531634
34,-8.882906323302011
35,-9.649272003009699
36,-8.314580747298638
37,-9.938550981844394
38,-8.196065032682515
39,-8.71566704703442
40,-8.094500007822697
41,-8.219036255391726
42,-7.51423735716323
43,-6.769301307973428
44,-7.69317025499505
45,-7.49867948223522
46,-6.7434044277415826
47,-7.220620101203899
48,-7.912405557265867
49,-5.5944944302910145
50,-6.533828056433796
51,-6.3093238395059865
52,-6.431931660845419
53,-6.218115389823672
54,-6.367040483986077
55,-5.908764336725934
56,-5.096116749746657
57,-5.869045566078691
58,-6.817423077290689
59,-6.145491041088615
60,-5.384133108499987
61,-5.507292663718011
62,-5.01309899755803
63,-4.6131113582570675
64,-4.02448894871366
65,-4.260802113268566
66,-4.572284681736858
67,-3.673622510377253
68,-3.4306524589571303
69,-5.231845722393901
70,-4.569579771993551
71,-3.931364105257193
72,-4.510556692109136
73,-3.9228657050422946
74,-1.9115922593159855
75,-2.287293255032246
76,-2.391005053573853
77,-2.842698322736958
78,-2.8666434955875513
79,-2.323898028169679
80,-0.476095296984852
81,-1.578767812663642
82,-2.44139970792281
83,-1.2548114591538309
84,-1.9519800506612421
85,-1.3646133300101737
86,-2.686319886147756
87,-2.2455860509448318
88,-0.8857188868791152
89,0.6913389754706663
90,-1.191802310064567
91,-1.6366584507600301
92,-1.1020338724307461
93,-0.2782493880935383
94,-0.2987866389800774
95,0.6925256357835521
96,0.9028015963713036
97,1.5375679576843393
98,0.5936853432277716
99,1.0763585909107862
100,-0.1660298509677538
101,0.9884431304102488
102,1.4550410540649419
103,1.7806967988372202
104,0.10197916807311591
105,0.8440741295572554
106,1.7130818045694038
107,1.591304997784002
108,1.2539788773589051
109,1.4772840698428449
110,2.3504014525127856
111,3.0492897132113486
112,2.5481434479658294
113,1.635450055865367
114,2.7761307603887264
115,2.5342225279391326
116,2.5243281483088116
117,2.8953664620887136
118,4.221808518621447
119,2.8396387117441817
120,3.856568776551981
121,4.433374555058118
122,3.921884195466042
123,4.005024485506187
124,4.925663473503862
125,3.634582030509211
126,3.5588510024048494
127,4.434316938617973
128,5.638307453919086
129,4.200312361160255
130,4.3127645072041
131,5.1583287362035
132,5.430660605037645
133,6.157644954503937
134,5.947893669837295
135,6.145839071853919
136,6.846257536538183
137,6.443638994020022
138,6.582419773701062
139,5.748810176368079
140,7.585784713832871
141,7.180560768858793
142,8.290203612574729
143,7.122621528452068
144,8.439179485737757
145,7.206115779458243
146,7.688770615190325
147,8.01003460363022
148,8.455929449069467
149,7.504990963488888
150,8.54499314207629
151,7.87586470031351
152,7.436724191122085
153,8.621429372182776
154,9.347133968064718
155,7.904664466710411
156,8.722494539516411
157,8.55905537520685
158,9.089498789263718
159,9.394289162459268
160,10.043028281459392
161,9.08961332352126
162,9.700044430277716
163,8.955589536018097
164,9.847254619261893
165,10.392174437049142
166,10.36180275768179
167,9.652743338819247
168,9.378256857158055
169,11.071724805488262
170,9.5678213080115
171,11.705086740892265
172,11.329409080463192
173,10.903299179572803
174,11.28802684062917
175,11.321131620828895
176,11.337684804357705
177,11.152528156588927
178,12.616814754504938
179,12.812195455011123
180,11.413196889714287
181,12.112909296189976
182,11.975629640210723
183,11.938058727218348
184,12.301980310971878
185,13.10989241256968
186,13.229377571799775
187,13.508003283253593
188,13.433888670979378
189,13.946734388217973
190,13.71377271190526
191,12.94834226182752
192,12.987085649159106
193,15.030253904050493
194,15.175743592523434
195,14.21768882719035
196,15.338333204218472
197,16.287025493889765
198,13.995056842204974
199,14.793022529545556
200,14.209973963380579
201,14.804029477858018
202,15.331209220320709
203,16.201860244355455
204,14.81921752128109
205,17.13854398989726
206,15.091270106303963
207,16.0851632620015
208,15.609047810442444
209,16.842604212001252
210,16.499097365708536
211,15.55353403463017
212,17.27098564553731
213,17.25364046278465
214,18.272525278540932
215,16.38468684000375
216,19.454523288708163
217,18.47958622103312
218,16.906636657323084
219,16.889581683474063
220,17.696936516261967
221,17.531013486290714
222,17.622121350552682
223,18.391185163509313
224,17.95151452927259
225,18.3403309584117
226,17.296109061305337
227,18.68050730097738
228,18.368012270584927
229,18.861840313463315
230,18.57524284265417
231,17.464683609150853
232,19.383718426357955
233,17.356749198488192
234,19.548054059714786
235,19.677750227414574
236,19.280166476806148
237,19.558338374274715
238,18.801874168013246
239,18.616418593578302
240,20.410033612117484
241,18.514330777078115
242,19.0827298483847
243,19.05623976066642
244,19.263068907897015
245,19.666406295828022
246,18.31632132712661
247,19.710578294342707
248,19.790566769484563
249,20.088248856867143
250,18.715129762856144
251,17.95643014286114
252,19.9995639944122
253,18.619745791407826
254,19.016955868004
255,18.95936915789726
256,19.10592973444119
257,18.902691818656667
258,19.879658056284462
259,18.48214959295388
260,19.97540589957705
261,19.139083595025372
262,20.628491346131984
263,19.116245981409826
264,19.493336330864143
265,20.323003418757658
266,18.841692417715784
267,19.06051191725909
268,20.100949809915512
269,19.12788797288889
270,19.47238335599375
271,18.363893117825523
272,19.374212231980252
273,18.96986941631621
274,18.551779159083864
275,18.26124263055093
276,18.085188458857893
277,19.749290609621298
278,17.520133492520685
279,17.915742067506812
280,18.70021916840595
281,17.161934281892265
282,18.16623204223047
283,18.93570630381977
284,17.378691060094987
285,18.178614311070614
286,17.81860863786702
287,18.356628808740908
288,17.85916455382427
289,18.464194993565805
290,17.95175393824872
291,17.83605702993851
292,18.851579212536933
293,16.920905530775656
294,17.398255664358707
295,16.771184293640296
296,16.26055961207399
297,17.3037606403882
298,17.792555470128235
299,17.946565658560928
300,17.117769646049993
301,16.857087584007246
302,15.996332824679666
303,17.071352254788902
304,16.23918880080315
305,16.9151603000075
306,18.757461395625548
307,16.48011406726684
308,16.001432872535432
309,16.590322647053867
310,17.29583373247969
311,15.656474608446194
312,16.617570062116986
313,15.990075774514436
314,16.636148647526312
315,16.381744527996002
316,15.936315922567928
317,15.598678507938256
318,16.40909925942132
319,14.486524928183977
320,15.564318124788151
321,16.10978387351856
322,14.917742496520683
323,14.162011038777653
324,14.548428528181727
325,14.899471973158104
326,13.745167443072367
327,14.043903269755031
328,13.87502835976253
329,14.234150400866392
330,14.694923180181975
331,14.206038799300588
332,14.310436718132733
333,14.584696862372454
334,13.927035958175228
335,13.584183648164979
336,12.760224144838896
337,14.432004067291338
338,11.957154734216724
339,13.180718730537432
340,12.594768376183977
341,12.369924568292213
342,12.374892613796026
343,12.136238793877265
344,13.438161583160856
345,11.940648083032873
346,13.05996929695713
347,12.663611036790401
348,11.337930576575177
349,12.420760149264343
350,13.238296192444444
351,12.116764734118984
352,12.210369037550807
353,10.746244137646293
354,10.180967897703287
355,10.918737465377077
356,11.047618576880641
357,10.52728308529234
358,10.512589885093362
359,11.95353526808349
360,10.323359329349081
361,10.520301644040995
362,9.727722859736682
363,8.934270128964805
364,10.566389028736833
365,8.832405744392702
366,9.046580140217173
367,8.563445840408873
368,9.098567998107063
369,8.467818430622097
370,9.26345316085172
371,7.843651875105412
372,9.089453878302136
373,9.296570942494863
374,8.501939627051144
375,7.766626911608473
376,8.295627190981152
377,8.20298954516538
378,7.626371047088389
379,9.661701877581976
380,7.6677533561257345
381,6.733053571037345
382,8.634055425246869
383,6.56516865431071
384,7.617059510190476
385,7.218062105720284
386,6.006520600384977
387,7.016876766989651
388,4.730177274527733
389,6.391118670313361
390,6.581544649989676
391,5.525529197990727
392,6.332810206458142
393,5.9031091380822645
394,5.077807253340782
395,4.601390822829372
396,7.706192616543932
397,5.844411907929084
398,6.111055459539557
399,4.357109019568453
400,3.4457077007839274
401,5.693995120990401
402,5.635453193931984
403,3.3938324970025495
404,4.5456910051411565
405,4.001139768264716
406,4.984910461976778
407,4.071479703225597
408,3.445926666816623
409,3.174197133293438
410,3.3068635116276215
411,3.19790262895783
412,3.45042450564147
413,2.052717868455043
414,1.7822060943699787
415,2.131274859109686
416,2.672120979542332
417,3.849467564741632
418,1.5890018218538935
419,2.4971647959085366
420,2.7683091847608297
421,2.8988276206600174
