,y
0,11.534955426088434
1,12.103980473843537
2,10.750896488843537
3,9.637825849374149
4,10.743121178163266
5,10.807654343843538
6,11.418855757040816
7,11.939054371598639
8,11.84625964414966
9,11.83221563595238
10,11.13693577202381
11,10.563799034894558
12,11.559731351394557
13,12.1140251014966
14,11.699659954693878
15,11.384049472959184
16,11.43855977329932
17,11.72297754482993
18,11.065364955170068
19,10.915479662244897
20,11.514610890068028
21,11.714417629693877
22,11.62100448904762
23,11.062750561666666
24,10.8746159625
25,10.76360916242517
26,10.952847178367348
27,10.663923696530611
28,11.170233824183672
29,11.140741224081633
30,11.064091496802721
31,12.118265727176869
32,12.702003985986394
33,12.097489352517005
34,10.860163939744897
35,10.39233846732313
36,11.438243363979593
37,11.451652666156463
38,11.152699704659863
39,11.175039225136056
40,10.28774486797619
41,10.118259838486393
42,11.036616935816326
43,11.051611408061223
44,11.151903901717686
45,10.455858799656463
46,10.92118931962585
47,10.659956015442177
48,10.604947566054422
49,11.59880065057823
50,11.563743449421768
51,11.393426524523809
52,10.96722713292517
53,10.656303193027211
54,11.117467954081633
55,11.200754924591836
56,10.813572504115646
57,10.573341717823128
58,10.163055723520408
59,10.000664032642856
60,10.610972799591837
61,10.78157917952381
62,10.984521687585033
63,10.957673324659863
64,10.587567173894557
65,10.439474730044218
66,11.363950328129253
67,11.126739331904762
68,10.161925785680273
69,10.14073148182313
70,10.665509268928572
71,10.362773930554422
72,10.283280459336735
73,10.503180514452382
74,10.584939401258504
75,10.344511206340137
76,10.909773016632652
77,10.113173258792516
78,10.560798903193877
79,10.822509091683674
80,10.785564107336734
81,12.012582241122448
82,10.928189027040816
83,10.546933329102039
84,11.195712909591835
85,10.77817308489796
86,10.424685477738096
87,10.296163970465987
88,10.824945295340136
89,11.681531750340136
90,11.393223779421769
91,10.763599470292517
92,11.218774407721089
93,10.792446380272109
94,10.690382436360544
95,10.594407122993196
96,10.765027094829932
97,10.679400054234694
98,9.803900125010205
99,9.564140386625851
100,10.596702970442177
101,10.796924523537415
102,11.337981678095238
103,11.787425578265307
104,10.954226548605442
105,11.62017042717687
106,11.582021201496598
107,10.908722873333334
108,10.440935666309523
109,10.56930272064966
110,11.026525707891157
111,10.555784425578231
112,10.772425963863945
113,11.030758527159863
114,10.438897350057823
115,10.808099969319729
116,10.849541629489796
117,10.316802976428571
118,10.687723117721088
119,11.363858985102041
120,11.235927335714285
121,11.196719283333332
122,11.285596690714286
123,11.345202731360544
124,11.370018806258503
125,11.621476742210884
126,11.47903922792517
127,11.649133143333334
128,11.47928151765306
129,11.732308957517006
130,12.08054739142857
131,11.442826425782313
132,11.192218130238096
133,11.684645890884354
134,11.619854174319729
135,11.7960343792517
136,12.601971449421768
137,12.400519699183674
138,11.912940526632653
139,12.396136613571429
140,12.073235465816326
141,12.04504408914966
142,12.297365819115646
143,11.927464594047619
144,11.7767742457483
145,12.644408426462585
146,12.640503800442177
147,12.59147249612245
148,12.454931057653061
149,12.417088100782314
150,12.516407922380953
151,13.010661018605441
152,13.17788963510204
153,12.854890653027212
154,12.51837690914966
155,12.916061971836735
156,13.595557898163266
157,13.462282568469389
158,12.685336281394559
159,13.058356468027212
160,13.00153665962585
161,12.811844421462585
162,12.659066988095237
163,13.483627394931972
164,13.516809774183674
165,14.109118337585034
166,14.635286085918366
167,13.84393224367347
168,14.704839908537416
169,15.131661281632654
170,13.844902304217687
171,13.123378829863945
172,13.444460384115647
173,14.837493643503402
174,14.667291418061223
175,14.793160121054422
176,14.32661211612245
177,13.289420805340136
178,13.411101171530612
179,13.57987422227891
180,13.90589272292517
181,14.061424694217687
182,13.527374597380952
183,14.038289746768708
184,14.487095170782313
185,14.49501961819728
186,13.783796880680272
187,13.980689996428572
188,14.335679151904761
189,14.679181563061224
190,14.494134498945577
191,14.013682320680273
192,14.304998744013604
193,14.216670590782313
194,14.260158234659864
195,14.691636670238095
196,14.667471511156462
197,14.241944845306122
198,13.76134030632653
199,14.307546060544217
200,13.795025234761905
201,13.772814692414967
202,13.60257637707483
203,13.300707322176871
204,12.735884687108843
205,13.100925577823128
206,13.670462166224489
207,13.104044133061224
208,12.965626005986394
209,13.389754855
210,12.752392161598639
211,13.004188971360543
212,14.191172128707484
213,13.861641053979591
214,13.420949205884353
215,13.602590112857143
216,13.417889762108844
217,12.499946821666667
218,12.381795127414966
219,11.53639958510204
220,12.26090378
221,12.522698740510204
222,12.34479978510204
223,12.574659128469387
224,11.755784634319728
225,11.150716204659863
226,11.596722620816326
227,11.750152190238095
228,11.32362588802721
229,11.306440703061224
230,10.719389914982994
231,10.913219886472788
232,11.424556180204082
233,11.178080233129252
234,11.247563616360544
235,10.591515376717688
236,10.215234494295919
237,10.111833681367347
238,9.74664070467007
239,9.454836314034013
240,9.486003332156463
241,9.525415539891156
242,9.411158475459183
243,9.462237806428572
244,8.78004702285034
245,8.638454862244897
246,9.265576618340136
247,9.937770491544217
248,9.289200582921769
249,8.742172195088434
250,9.082592580503402
251,8.82967829964966
252,7.894210574265306
253,7.883501880908163
254,7.956684453017006
255,7.057882847880952
256,6.722393221704081
257,6.993800751622448
258,7.187665209666666
259,7.192452236693877
260,6.681618600755102
261,6.461063430591837
262,6.1293082854557825
263,5.358298281020408
264,5.955626585979592
265,5.929096743867347
266,6.288273240370748
267,6.658124776353742
268,5.723258773227891
269,5.3746535577040815
270,5.915552453721089
271,5.407585026819728
272,5.614793874717687
273,5.767393404588436
274,4.476132982877551
275,3.7690951022414967
276,4.195842689972789
277,4.77741331805102
278,4.767134216224489
279,3.834891876214286
280,3.782928705778912
281,3.840672105945578
282,3.829051468180272
283,3.2458126373911567
284,3.7740431969795916
285,3.7209354575272107
286,2.7222524465068028
287,2.600349934326531
288,2.0659512949557826
289,1.5128286304557823
290,1.6763921268911566
291,1.8819034620986395
292,2.429819470632653
293,1.8761655234353742
294,1.493781285037415
295,2.55775885522449
296,2.560991252013606
297,1.0818600060408163
298,1.284034289445578
299,1.2632001340034016
300,0.596739109282313
301,0.8927683515918368
302,1.0081112365136056
303,0.34915095091836734
304,0.705039752085034
305,0.5065239440034014
306,-0.03682794830612246
307,-0.6424122342891155
308,-0.09321735116326528
309,0.536538696282313
310,0.2437637105068028
311,-0.123467214829932
312,-0.24383866799999976
313,-0.6048357854795918
314,-0.24477946899319725
315,-0.5931628672959183
316,0.17004030505782314
317,-0.06884561882312934
318,-1.181139911387755
319,-1.5068072479319727
320,-1.5877464689931973
321,-1.6324510478129253
322,-1.5032090851870747
323,-0.8741062720918367
324,-1.0136958683095236
325,-2.053243746329932
326,-1.8810521018367348
327,-2.2206067520918364
328,-2.6890849571836735
329,-2.13068794179932
330,-2.0056138735136053
331,-2.3252742997653058
332,-2.9811833150204077
333,-3.113079238
334,-3.305947565047619
335,-3.8237586991326533
336,-3.5238072949693877
337,-3.7549123310272114
338,-2.9377768081768707
339,-3.1294905910714284
340,-3.8478468219183672
341,-4.042072136448979
342,-3.23810233142517
343,-3.495301584962585
344,-3.1500445030034014
345,-3.128082262421769
346,-4.205565110778912
347,-4.058713092095238
348,-3.7033159254081633
349,-3.4157978716190476
350,-3.7473374246326525
351,-4.84704090857483
352,-4.673458279976191
353,-4.751931811727891
354,-5.407774211785714
355,-4.877907637792517
356,-4.2452432064285714
357,-4.076411153972789
358,-3.7642166876020413
359,-4.027700551595238
360,-4.2438391952959185
361,-4.383470175897959
362,-4.7355281706734695
363,-5.4319567623537415
364,-5.3667410758197285
365,-5.650356943741496
366,-5.247842998068027
367,-4.9418090393129255
368,-4.804063439741498
369,-4.574217486214286
370,-5.690403172642857
371,-6.119178976132654
372,-5.849885623095238
373,-4.9882643053231295
374,-4.885131473421769
375,-5.419408864217687
376,-5.4726148803027215
377,-6.0187051208163265
378,-6.038783198748299
379,-6.441225837887755
380,-6.581199950513605
381,-5.719180179911565
382,-5.30372727785034
383,-5.738493356051021
384,-5.44922271137415
385,-5.277186002731293
386,-6.449044719568028
387,-6.029582377333334
388,-5.955761955493198
389,-6.622659560894558
390,-6.1546684146938775
391,-7.012197423435374
392,-7.410342836670068
393,-7.197601500833334
394,-7.795122000959184
395,-7.511815642918368
396,-7.1082960550986405
397,-7.144605615979592
398,-6.584742796112245
399,-6.583246749982993
400,-7.581579590482994
401,-7.163510808309525
402,-6.405818722636055
403,-7.342224659091838
404,-7.27173512297279
405,-6.839191861802721
406,-6.911222953547619
407,-7.561835824612245
408,-7.511116056197279
409,-7.642480344690477
410,-7.111238561581633
411,-7.31319499822449
412,-8.025366363176872
413,-7.738819546013606
414,-7.8951855624489795
415,-7.847426910387755
416,-7.813283823714286
417,-8.423486987085035
418,-8.532588287642858
419,-8.701632010142857
420,-8.717089173670068
421,-8.373338001044218
422,-8.06651853679932
423,-7.961644704863946
424,-8.440296172163265
425,-9.347626385418367
426,-9.616707973142857
427,-9.769000432585035
428,-9.630514709061224
429,-9.948741885544218
430,-9.382577327210885
431,-9.880956796632653
432,-9.56048372345238
433,-9.43276109502381
434,-10.183607250510205
435,-10.094222369302722
436,-9.142184125642858
437,-9.151708880489796
438,-9.730324180170069
439,-9.723235629666666
440,-10.048740569727892
441,-10.394990537006802
442,-10.648143346938776
443,-10.370231604455782
444,-11.003051752210883
445,-10.846321995340135
446,-10.32917035772109
447,-11.191059857585035
448,-11.490065244931973
449,-11.250813960816327
450,-10.929835208469388
451,-9.828520658265306
452,-9.914878800612245
453,-10.266466308911564
454,-10.658496594795919
455,-11.770408982278912
456,-11.942747596564626
457,-11.215357913537416
458,-11.942881285340135
459,-11.927422116156464
460,-11.38906795707483
461,-10.911814729285714
462,-11.18533314537415
463,-11.387417149251702
464,-11.801356781156462
465,-12.269949392006803
466,-11.97058880547619
467,-12.05882999887755
468,-11.703012291904761
469,-11.798501757687074
470,-11.856443442040817
471,-12.012860186360545
472,-12.100826846258505
473,-12.524612329081632
474,-12.833590895884354
475,-12.407637875170069
476,-12.409440385986395
477,-11.827466046836735
478,-12.317386927891157
479,-12.429597656088436
480,-13.262016085646259
481,-13.653503952040817
482,-13.770021652551021
483,-13.72227566292517
484,-14.36207182207483
485,-13.823209564081633
486,-13.396035623367347
487,-13.667225213435374
488,-12.931249789285715
489,-12.797159841530613
490,-13.371042757210885
491,-12.75901210782313
492,-12.677979756802722
493,-13.818334965204082
494,-14.347738029183674
495,-14.086378714081633
496,-14.387811476088435
497,-14.875915910816326
498,-14.45804665585034
499,-13.66715544585034
500,-14.157076885782313
501,-14.183944604591836
502,-14.152439867108843
503,-13.977161053163265
504,-14.17027064255102
505,-14.121986312959184
506,-14.482434173809525
507,-13.864735493639456
508,-13.249942867108844
509,-13.841655079081631
510,-14.735823247687074
511,-14.642058925
512,-14.473682280068028
513,-14.414900315578231
514,-14.459571368095238
515,-14.763587358129252
516,-13.981821753469388
517,-13.560662371938776
518,-13.646234236564625
519,-13.62398836819728
520,-13.750087521632654
521,-13.468081501292517
522,-14.401306170544217
523,-14.694003900646258
524,-13.457562224625851
525,-13.099917548741496
526,-13.066601887653063
527,-13.047881290408164
