time,linear_x,linear_y,angular_z,cov_linear_x,cov_linear_y,cov_angular_z,,time,,real_time
1.62766E+18,0,0,0,0,0,0,,76946.17953,,1627660346179530000
1.62766E+18,0,0,0,0,0,0,,76946.19315,,1627660346193150000
1.62766E+18,0,0,0,0,0,0,,76946.21226,,1627660346212260000
1.62766E+18,0,0,0,0,0,0,,76946.2319,,1627660346231900000
1.62766E+18,0,0,0,0,0,0,,76946.27881,,1627660346278810000
1.62766E+18,0,0,0,0,0,0,,76946.2918,,1627660346291800000
1.62766E+18,0,0,0,0,0,0,,76946.32566,,1627660346325660000
1.62766E+18,0,0,0,0,0,0,,76946.34471,,1627660346344710000
1.62766E+18,0,0,0,0,0,0,,76946.35353,,1627660346353530000
1.62766E+18,0,0,0,0,0,0,,76946.39521,,1627660346395210000
1.62766E+18,0,0,0,0,0,0,,76946.39524,,1627660346395240000
1.62766E+18,0,0,0,0,0,0,,76946.43928,,1627660346439280000
1.62766E+18,0,0,0,0,0,0,,76946.43929,,1627660346439290000
1.62766E+18,0,0,0,0,0,0,,76946.48319,,1627660346483190000
1.62766E+18,0,0,0,0,0,0,,76946.48321,,1627660346483210000
1.62766E+18,0,0,0,0,0,0,,76946.52726,,1627660346527260000
1.62766E+18,0,0,0,0,0,0,,76946.52728,,1627660346527280000
1.62766E+18,0,0,0,0,0,0,,76946.57121,,1627660346571210000
1.62766E+18,0,0,0,0,0,0,,76946.57122,,1627660346571220000
1.62766E+18,0,0,0,0,0,0,,76946.61524,,1627660346615240000
1.62766E+18,0,0,0,0,0,0,,76946.61526,,1627660346615260000
1.62766E+18,0,0,0,0,0,0,,76946.61527,,1627660346615270000
1.62766E+18,0,0,0,0,0,0,,76946.6592,,1627660346659200000
1.62766E+18,0,0,0,0,0,0,,76946.65922,,1627660346659220000
1.62766E+18,0,0,0,0,0,0,,76946.67199,,1627660346671990000
1.62766E+18,0,0,0,0,0,0,,76946.69196,,1627660346691960000
1.62766E+18,0,0,0,0,0,0,,76946.7352,,1627660346735200000
1.62766E+18,0,0,0,0,0,0,,76946.73522,,1627660346735220000
1.62766E+18,0,0,0,0,0,0,,76946.78538,,1627660346785380000
1.62766E+18,0,0,0,0,0,0,,76946.7854,,1627660346785400000
1.62766E+18,0,0,0,0,0,0,,76946.82719,,1627660346827190000
1.62766E+18,0,0,0,0,0,0,,76946.82721,,1627660346827210000
1.62766E+18,0,0,0,0,0,0,,76946.87121,,1627660346871210000
1.62766E+18,0,0,0,0,0,0,,76946.87122,,1627660346871220000
1.62766E+18,0,0,0,0,0,0,,76946.91917,,1627660346919170000
1.62766E+18,0,0,0,0,0,0,,76946.91918,,1627660346919180000
1.62766E+18,0,0,0,0,0,0,,76946.91919,,1627660346919190000
1.62766E+18,0,0,0,0,0,0,,76946.96319,,1627660346963190000
1.62766E+18,0,0,0,0,0,0,,76946.9632,,1627660346963200000
1.62766E+18,0,0,0,0,0,0,,76946.9713,,1627660346971300000
1.62766E+18,0,0,0,0,0,0,,76946.99159,,1627660346991590000
1.62766E+18,0,0,0,0,0,0,,76947.03926,,1627660347039260000
1.62766E+18,0,0,0,0,0,0,,76947.03927,,1627660347039270000
1.62766E+18,0,0,0,0,0,0,,76947.08719,,1627660347087190000
1.62766E+18,0,0,0,0,0,0,,76947.0872,,1627660347087200000
1.62766E+18,0,0,0,0,0,0,,76947.1312,,1627660347131200000
1.62766E+18,0,0,0,0,0,0,,76947.13122,,1627660347131220000
1.62766E+18,0,0,0,0,0,0,,76947.17527,,1627660347175270000
1.62766E+18,0,0,0,0,0,0,,76947.17529,,1627660347175290000
1.62766E+18,0,0,0,0,0,0,,76947.17531,,1627660347175310000
1.62766E+18,0,0,0,0,0,0,,76947.2192,,1627660347219200000
1.62766E+18,0,0,0,0,0,0,,76947.21922,,1627660347219220000
1.62766E+18,0,0,0,0,0,0,,76947.2316,,1627660347231600000
1.62766E+18,0,0,0,0,0,0,,76947.25158,,1627660347251580000
1.62766E+18,0,0,0,0,0,0,,76947.29523,,1627660347295230000
1.62766E+18,0,0,0,0,0,0,,76947.29525,,1627660347295250000
1.62766E+18,0,0,0,0,0,0,,76947.33921,,1627660347339210000
1.62766E+18,0,0,0,0,0,0,,76947.33922,,1627660347339220000
1.62766E+18,0,0,0,0,0,0,,76947.38321,,1627660347383210000
1.62766E+18,0,0,0,0,0,0,,76947.38323,,1627660347383230000
1.62766E+18,0,0,0,0,0,0,,76947.42723,,1627660347427230000
1.62766E+18,0,0,0,0,0,0,,76947.42725,,1627660347427250000
1.62766E+18,0,0,0,0,0,0,,76947.47124,,1627660347471240000
1.62766E+18,0,0,0,0,0,0,,76947.47126,,1627660347471260000
1.62766E+18,0,0,0,0,0,0,,76947.51919,,1627660347519190000
1.62766E+18,0,0,0,0,0,0,,76947.5192,,1627660347519200000
1.62766E+18,0.020125151,0,-6.37E-05,0,0,1.31E-06,,76947.5192,,1627660347519200000
1.62766E+18,0.031521729,0,0.003045325,4.09E-05,-1.07E-07,5.16E-06,,76947.56319,,1627660347563190000
1.62766E+18,0.062009359,0,-0.00069064,0.000161381,-6.27E-07,1.16E-05,,76947.56321,,1627660347563210000
1.62766E+18,0.09875226,0,-0.002123919,0.000363717,-1.86E-06,2.07E-05,,76947.57165,,1627660347571650000
1.62766E+18,0.092755997,0,-0.005706208,0.000644927,-4.09E-06,3.23E-05,,76947.59215,,1627660347592150000
1.62766E+18,0.148566476,0,-0.00086471,0.00100845,-7.55E-06,4.66E-05,,76947.63518,,1627660347635180000
1.62766E+18,0.127354978,0,-0.0039758,0.001451684,-1.25E-05,6.34E-05,,76947.6352,,1627660347635200000
1.62766E+18,0.119219312,0,0.005029257,0.001975542,-1.92E-05,8.29E-05,,76947.67921,,1627660347679210000
1.62766E+18,0.264238221,0,0.010497736,0.002581563,-2.78E-05,0.000104962,,76947.67922,,1627660347679220000
1.62766E+18,0.155317684,0,-0.009599405,0.003263855,-3.87E-05,0.000129667,,76947.72318,,1627660347723180000
1.62766E+18,0.268636747,0,0.002264064,0.004028118,-5.25E-05,0.000157057,,76947.72319,,1627660347723190000
1.62766E+18,0.115748317,0,-0.005175135,0.004874304,-6.92E-05,0.000187156,,76947.76718,,1627660347767180000
1.62766E+18,0.301706351,0,-0.024114332,0.0058022,-8.90E-05,0.000219833,,76947.76719,,1627660347767190000
1.62766E+18,0.407058995,0,-0.038954328,0.006807264,-0.000112143,0.000255454,,76947.81117,,1627660347811170000
1.62766E+18,0.185989149,0,0.009732519,0.007900393,-0.000138795,0.000293422,,76947.81118,,1627660347811180000
1.62766E+18,0.443371393,0,-0.032620362,0.009062545,-0.000167831,0.00033425,,76947.85521,,1627660347855210000
1.62766E+18,0.466364024,0,0.002069462,0.010309626,-0.000200538,0.000377814,,76947.85522,,1627660347855220000
1.62766E+18,0.396433773,0,-0.038971672,0.011637195,-0.000236979,0.000424049,,76947.85522,,1627660347855220000
1.62766E+18,0.321900395,0,0.005451579,0.01304288,-0.000277282,0.000473089,,76947.89918,,1627660347899180000
1.62766E+18,0.632981355,0,-0.017413153,0.014530374,-0.000321659,0.00052491,,76947.8992,,1627660347899200000
1.62766E+18,0.736087608,0,-0.024664066,0.016098491,-0.000371296,0.000579601,,76947.91161,,1627660347911610000
1.62766E+18,0.539517339,0,-0.032717284,0.017748502,-0.000425478,0.000637108,,76947.93437,,1627660347934370000
1.62766E+18,0.365583942,0,-0.042428317,0.019478909,-0.000484341,0.000697567,,76947.9752,,1627660347975200000
1.62766E+18,0.393009496,0,0.016928525,0.021293389,-0.000548041,0.000760751,,76947.97521,,1627660347975210000
1.62766E+18,0.539194882,0,-0.018918012,0.023184479,-0.00061639,0.000826276,,76948.01922,,1627660348019220000
1.62766E+18,0.732674675,0,-0.054840818,0.025140237,-0.000686924,0.000894886,,76948.01923,,1627660348019230000
1.62766E+18,0.645217098,0,-0.058956078,0.027186676,-0.000762616,0.00096542,,76948.06319,,1627660348063190000
1.62766E+18,0.540800019,0,-0.019534726,0.029284316,-0.000842223,0.001036907,,76948.0632,,1627660348063200000
1.62766E+18,0.536954873,0,-0.061295096,0.031404109,-0.000924804,0.001108875,,76948.10723,,1627660348107230000
1.62766E+18,0.144642317,0,-0.002316778,0.033532299,-0.001010361,0.001182709,,76948.10726,,1627660348107260000
1.62766E+18,0.453948769,0,-0.045380834,0.035711121,-0.001100221,0.0012576,,76948.15132,,1627660348151320000
1.62766E+18,0.595693813,0,0.007677277,0.037914186,-0.00119336,0.001333589,,76948.15134,,1627660348151340000
1.62766E+18,0.843032597,0,-5.24E-05,0.040143687,-0.001289301,0.001409076,,76948.19924,,1627660348199240000
